Subcategory,Title,ConditionText,ResultText
十神應事,正印,喜用,母緣厚、長輩助力、文書順利，學業得益、家宅安穩、文憑證件大利
十神應事,正印,忌用,依賴過重、文書延誤阻滯、長輩牽絆，學業受阻、家宅不寧
十神應事,偏印,喜用,偏業奇遇得助、機巧化解危機，遠地有成、隱秘事有利、藥物/技藝獲益
十神應事,偏印,忌用,意外波折頻生、偏門受阻，藥物/隱秘事受損、遠地出錯
十神應事,比肩,喜用,兄弟同輩合力、合伙有成，職場得同僚助力、共同資產有利
十神應事,比肩,忌用,兄弟競爭耗損、合伙生糾紛，職場相互消耗、共同資產生爭
十神應事,劫財,喜用,勇猛進取有成、異性兄弟相助，競爭場勝出、車輛動產有益
十神應事,劫財,忌用,爭奪損財破耗、兄弟是非纏身，競爭失利、動產車輛損耗
十神應事,食神,喜用,子女緣厚福深、飲食享樂豐足，晚年安樂、餐飲廚藝有利
十神應事,食神,忌用,子女不遂令人憂、飲食過度成患，安居受擾、福氣受損
十神應事,傷官,喜用,才華得展成名、創新突破有成，青年揚名、工藝設計/表演場得利
十神應事,傷官,忌用,才華傲氣招禍端、創新受阻誤事，表演場是非、口舌官非
十神應事,正財,喜用,妻緣得助感情穩、正業致富財源旺，家庭穩固、固定資產增益
十神應事,正財,忌用,妻緣受損感情破、正業財耗受損，家庭糾紛、固定資產受損
十神應事,偏財,喜用,父緣有助、偏門橫財意外得，少年投機得利、遠地有財、贈禮收益
十神應事,偏財,忌用,父緣破損受牽絆、偏財失利反虧損，投機慎防、遠地失財
十神應事,正官,喜用,官職得升名譽彰、規矩守成有成，青年得志、公職有利、證書職權到手
十神應事,正官,忌用,官職受損名譽破、公職是非纏，規矩約束造壓力、證書職權受阻
十神應事,七殺,喜用,以威制殺建功勛、競爭場勝出得貴，威權場合有利、醫療軍警有成
十神應事,七殺,忌用,小人作禍受威脅、強大壓力難承受，危險意外需謹慎、醫療手術風險
地支互動,沖,多凶,動盪分離、家庭/事業衝突爆發，當年大變化、遷移搬動、財損/意外傷身
地支互動,刑,多凶,內耗是非官非纏、意外傷病難免，中晚年病痛加劇、車禍/手術機率增
地支互動,合,多吉,合作得助姻緣現、團結有成得貴人，合伙吉利、婚姻有利、財合增益
地支互動,害,多凶,暗害猜忌背叛生、慢性耗損難察覺，人際背叛損友、健康慢性受損
地支互動,三合,喜用大吉,事業人脈大旺盛、力量集中成大勢，群體事件有利、遠方發展成功
地支互動,三合,忌用大凶,忌神聚力禍加重、群體事件反受害，遠方失利、集體波及難逃
地支互動,入墓,入墓多凶,事業財庫收斂結束、情況趨於沉寂，晚年收尾之象、財庫封閉難動用
地支互動,出庫,出庫可吉,積累資源得以發放、舊財庫重新開啟，遺產/積累財富得用、久壓之事得解
