"CU_NO","CU_1","CU_2","CU_3","CU_4","CU_5","CU_6","CU_7","CU_8","CU_9","CU_10","UniqueID"
"柱","甲","乙","丙","丁","戊","已","庚","辛","壬","癸",1
"比肩","甲","乙","丙","丁","戊","已","庚","辛","壬","癸",2
"劫財","乙","甲","丁","丙","已","戊","辛","庚","癸","壬",3
"食神","丙","丁","戊","已","庚","辛","壬","癸","甲","乙",4
"傷官","丁","丙","已","戊","辛","庚","癸","壬","乙","甲",5
"偏財","戊","已","庚","辛","壬","癸","甲","乙","丙","丁",6
"正財","已","戊","辛","庚","癸","壬","乙","甲","丁","丙",7
"偏官","庚","辛","壬","癸","甲","乙","丙","丁","戊","已",8
"正官","辛","庚","癸","壬","乙","甲","丁","丙","已","戊",9
"偏印","壬","癸","甲","乙","丙","丁","戊","已","庚","辛",10
"正印","癸","壬","乙","甲","丁","丙","已","戊","辛","庚",11
