"CU_NO","CU_1","CU_2","CU_3","CU_4","CU_5","CU_6","CU_7","CU_8","CU_9","CU_10","CU_11","CU_12","UniqueID"
"","子","丑","寅","卯","辰","巳","午","未","申","酉","戍","亥",1
"子","","合","","刑","三","絕","沖","穿","三","破","","",2
"丑","合","","","","破","三","穿","沖","","三","刑","",3
"寅","","","","","","刑","三","","沖","絕","三","合",4
"卯","刑","","","","穿","","破","三合","絕","沖","合","三",5
"辰","三","破","","穿","刑","","","","三","合","沖","",6
"巳","絕","三","穿","","","","","","合","三","","沖",7
"午","沖","穿","三","破","","","刑","合","","","三","絕",8
"未","穿","沖","","三","","","合","","","","刑","三",9
"申","三","","沖","絕","三","合","","","","","","穿",10
"酉","","三","絕","沖","合","三","","","","刑","穿","",11
"戍","","刑","三","合","沖","","三","刑","","穿","","",12
"亥","","","合","三","","沖","絕","三","穿","","","刑",13
